,Activation,Learning Rate,Max Iterations,Num Hidden Layers,Train Accuracy,Train Loss,Test Accuracy,Test Loss
0,logistic,0.01,100,2,1.0,0.0037556919657131325,1.0,0.008851122495139889
1,logistic,0.01,100,3,1.0,0.0008209405436708777,1.0,0.001791493725521412
2,logistic,0.01,200,2,1.0,0.0031341564217485015,1.0,0.0111384469004026
3,logistic,0.01,200,3,1.0,0.0019796027233427026,0.9777777777777777,0.07821873546557868
4,logistic,0.01,500,2,1.0,0.0024225652471975413,1.0,0.010516750743051037
5,logistic,0.01,500,3,1.0,0.0013456889685266823,1.0,0.0035174610391833874
6,logistic,0.01,1000,2,1.0,0.00348579540169543,1.0,0.010733173803894156
7,logistic,0.01,1000,3,1.0,0.0008743801243101514,1.0,0.006458246925141686
8,logistic,0.1,100,2,0.6917293233082706,0.5429502500978274,0.5777777777777777,0.6101691695381588
9,logistic,0.1,100,3,0.42857142857142855,1.0852281060032343,0.3111111111111111,1.1564379744653117
10,logistic,0.1,200,2,1.0,0.0036100604451307114,1.0,0.004080663257067887
11,logistic,0.1,200,3,0.42857142857142855,1.1546071611327806,0.3111111111111111,1.2836582009831132
12,logistic,0.1,500,2,1.0,0.004704816750976403,1.0,0.006174431814475915
13,logistic,0.1,500,3,0.6917293233082706,0.5123291187561468,0.6,0.5290442350137564
14,logistic,0.1,1000,2,1.0,0.001971176254400392,0.9777777777777777,0.0603930596137098
15,logistic,0.1,1000,3,0.9924812030075187,0.050058142598126416,0.9555555555555556,0.16758279592334774
16,tanh,0.01,100,2,1.0,0.0006161385715897979,1.0,0.0012170574459803506
17,tanh,0.01,100,3,1.0,0.0001444352446423835,1.0,0.006068249616061363
18,tanh,0.01,200,2,1.0,0.00040862359142672974,1.0,0.00036893835587029
19,tanh,0.01,200,3,1.0,0.00015954151733362602,1.0,0.00015262130540398585
20,tanh,0.01,500,2,1.0,0.00041653154900995337,1.0,0.007076123689923376
21,tanh,0.01,500,3,1.0,9.059554616348508e-05,1.0,0.006496642391125761
22,tanh,0.01,1000,2,1.0,0.0003250469762912707,1.0,0.0011455686507634345
23,tanh,0.01,1000,3,1.0,9.221140129585426e-05,1.0,0.00044061369633726836
24,tanh,0.1,100,2,1.0,0.0003430766348903927,1.0,0.0012924559388162115
25,tanh,0.1,100,3,1.0,0.0005011330513908473,0.9777777777777777,0.07408366249944044
26,tanh,0.1,200,2,1.0,0.00040031290660590596,1.0,0.00011754773983417072
27,tanh,0.1,200,3,1.0,0.0007593679007160477,1.0,0.006678603699776771
28,tanh,0.1,500,2,1.0,4.931877214208429e-05,1.0,0.0014751346779154327
29,tanh,0.1,500,3,0.9924812030075187,0.04966217805350057,0.9555555555555556,0.25919183199225243
30,tanh,0.1,1000,2,1.0,5.761933405933827e-05,0.9777777777777777,0.10931757643201771
31,tanh,0.1,1000,3,1.0,0.0008757589885823138,1.0,0.0009778428565747916
32,relu,0.01,100,2,1.0,1.2682112531379461e-05,1.0,0.002142651920211275
33,relu,0.01,100,3,1.0,4.013364258109595e-07,1.0,0.0015108296758910998
34,relu,0.01,200,2,1.0,2.2628487808762704e-05,1.0,0.00047672746516308115
35,relu,0.01,200,3,1.0,1.4209681561528894e-07,0.9777777777777777,0.07853807272100768
36,relu,0.01,500,2,1.0,1.29615929164362e-05,0.9777777777777777,0.023614864282692254
37,relu,0.01,500,3,1.0,1.9826142340567678e-06,1.0,2.0937234374483033e-07
38,relu,0.01,1000,2,1.0,2.3475647016044093e-05,1.0,0.00026350875522134843
39,relu,0.01,1000,3,1.0,3.0538311268866856e-07,1.0,3.779945833389867e-07
40,relu,0.1,100,2,0.9924812030075187,0.016855892531834327,0.9777777777777777,0.8009893854048332
41,relu,0.1,100,3,1.0,1.1638334875004743e-07,1.0,5.0788397933935995e-08
42,relu,0.1,200,2,1.0,0.00031636833128152134,0.9777777777777777,0.13826596769539654
43,relu,0.1,200,3,1.0,7.092394773009225e-09,1.0,0.0008909687696107946
44,relu,0.1,500,2,1.0,2.577094521099588e-08,0.9777777777777777,0.19319129887376235
45,relu,0.1,500,3,1.0,3.0873567709278047e-06,1.0,0.01475294505650476
46,relu,0.1,1000,2,1.0,0.0001619734662839072,0.9555555555555556,0.6619611289493297
47,relu,0.1,1000,3,1.0,0.00045652987615106403,0.9777777777777777,0.052228247884571775
